metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2013,2013-08-13,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2013,2013-08-14,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2013,2013-08-15,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2013,2013-08-16,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2013,2013-08-17,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2013,2013-08-18,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2013,2013-08-19,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2013,2013-08-20,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2013,2013-08-21,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2013,2013-08-22,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2013,2013-08-23,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2013,2013-08-24,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2013,2013-08-25,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2013,2013-08-26,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-07-06,1,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-07-07,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-07-08,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-07-09,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-07-10,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-07-11,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-07-12,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-07-13,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-07-14,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-07-15,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-07-16,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-07-17,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-07-18,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-07-19,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-07-20,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-07-21,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-07-22,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-07-23,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-07-24,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-07-25,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-07-26,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-07-27,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-07-28,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-07-29,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-07-30,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-07-31,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-08-01,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-08-02,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-08-04,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-08-05,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-08-06,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-08-07,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-08-08,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-08-09,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-08-10,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-08-11,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-08-12,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-08-13,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-08-14,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-08-15,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-08-16,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-08-17,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-08-18,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-08-19,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-08-20,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-08-21,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-08-22,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2014,2014-08-23,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-07-08,1,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-07-09,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-07-10,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-07-11,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-07-12,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-07-13,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-07-14,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-07-15,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-07-16,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-07-17,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-07-18,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-07-19,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-07-20,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-07-21,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-07-22,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-07-23,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-07-24,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-07-25,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-07-26,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-07-27,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-07-28,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-07-29,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-07-30,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-07-31,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-08-01,1,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-08-02,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-08-03,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-08-04,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-08-05,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-08-06,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-08-07,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-08-08,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-08-09,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-08-10,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
